Nombre del Centro;Nº de Registro;Dirección;Código postal;Localidad;Provincia;Teléfono;Fax;Tipo de Centro;Finalidad Asistencial;Titularidad;Dependencia Funcional
CONSULTA DE PSIQUIATRÍA DE D. JOSÉ MARÍA REDERO SAN ROMÁN;40-C21-0025;CL. DAOIZ 9  C;40003;SEGOVIA;SEGOVIA;921462764;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;REDERO SAN ROMÁN , JOSÉ MARÍA;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE D. JUAN ANTONIO GARCÍA MELLADO;49-C21-0045;CL. TRAVIESA 15  C;49008;ZAMORA;ZAMORA;980160698;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;GARCÍA MELLADO , JUAN ANTONIO;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE D. JUAN MONS REVILLA;09-C21-0113;CL.  SANTANDER, Nº 3- 4º IZQ   ;09004;BURGOS;BURGOS;947276757;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;MONS REVILLA , JUAN;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE D. LUIS ALBERTO GONZÁLEZ MARTÍNEZ;09-C21-0214;PS. DE LA ISLA, 3 (HOSPITAL SAN JUAN DE DIOS)   ;09003;BURGOS;BURGOS;667619809;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;GONZÁLEZ MARTÍNEZ , LUIS ALBERTO;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE D. LUIS CORRAL SUÁREZ;47-C21-0089;CL. MARÍA DE MOLINA 6  D;47001;VALLADOLID;VALLADOLID;983330718;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;CORRAL SUÁREZ , LUIS;PRIVADOS;
CONSULTA DE PSIQUIATRIA DE D. LUIS TOMAS VELILLA DIEZ;24-C21-0120;CL. BURGO NUEVO 2  C;24001;LEON;LEON;987209193;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;VELILLA DÍEZ , LUIS TOMÁS;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE Dª. Mª INMACULADA MOSQUEIRA TERRÓN;37-C21-0045;CL. CUESTA DEL CARMEN 11  B;37002;SALAMANCA;SALAMANCA;923213085;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;MOSQUEIRA TERRÓN , Mª INMACULADA;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE Dª Mª NIEVES PRIETO MESTRE;37-C21-0218;PZ. DE ESPAÑA, 5-6, (EDIFICIO ESPAÑA - DESPACHO 206)    ;37004;SALAMANCA;SALAMANCA;923282010;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;PROYECTO ESTIO XXI S.L.;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE D.ª Mª OLGA SANZ GRANADO;09-C21-0211;CL. CRUZ ROJA, S/N   ;09006;BURGOS;BURGOS;947244055;947240424;CONSULTAS MÉDICAS;PSIQUIATRÍA;SANZ GRANADO , Mª OLGA;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE D. MANUEL MATEOS AGUT;09-C21-0020;CL. VALLADOLID 7  B;09003;BURGOS;BURGOS;947263178;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;MATEOS AGUT , MANUEL;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE Dª MARÍA LUISA VALDERRAMA;05-C21-0101;AV. JUAN CARLOS I (CENTRO CATEM) 37  ;05004;AVILA;AVILA;920219393;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;VALDERRAMA VALDERRAMA , MARÍA LUISA;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE D.ª MARTA ALONSO SANTAMARÍA;09-C21-0215;PS. DE LA ISLA (HOSPITAL SAN JUAN DE DIOS) 3  ;09003;BURGOS;BURGOS;600405524;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;ALONSO SANTAMARÍA , MARTA;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE D. MIGUEL ÁNGEL HERNÁNDEZ LAS HERAS;42-C21-0013;PZ. JURADOS DE CUADRILLA BLOQUE 1, 3  N;42003;SORIA;SORIA;975230348;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;HERNÁNDEZ LAS HERAS , MIGUEL ÁNGEL;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE D.ª MILAGROS SÁNCHEZ GARCÍA;05-C21-0024;PZ. DE CONCEPCIÓN ARENAL 1  A;05001;AVILA;AVILA;920251422;920251422;CONSULTAS MÉDICAS;PSIQUIATRÍA;SÁNCHEZ GARCÍA , MILAGROS;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE Dª MIRIAM ISCAR URRUTIA;37-C21-0009;CL. ZAMORA 44-46  D;37002;SALAMANCA;SALAMANCA;923260065;923260065;CONSULTAS MÉDICAS;PSIQUIATRÍA;ISCAR URRUTIA , MIRIAM;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE D.ª NURIA ESPAÑOL ARMENGOL;09-C21-0210;CL. CRUZ ROJA, S/N   ;09006;BURGOS;BURGOS;947244055;947240424;CONSULTAS MÉDICAS;PSIQUIATRÍA;ESPAÑOL ARMENGOL , NURIA;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE D. ÓSCAR NEBREDA GIMÉNEZ;09-C21-0154;AV. BILBAO 13 B A;09500;MEDINA DE POMAR;BURGOS;947190142;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;NEBREDA GIMÉNEZ , ÓSCAR;PRIVADOS;
CONSULTA DE PSIQUIATRIA DE D. PEDRO A. MEGIA LÓPEZ;34-C21-0074;CL. MARIA DE MOLINA 7  ;34002;PALENCIA;PALENCIA;979702673;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;MEGIA LÓPEZ , PEDRO ANTONIO;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE D. PEDRO DE LA VEGA JUÁREZ;37-C21-0029;CL. VARILLAS 16-18  B;37001;SALAMANCA;SALAMANCA;923271400;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;DE LA VEGA JUÁREZ , PEDRO;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE D. RAMÓN ESTEBAN ARNÁIZ;47-C21-0254;CL. MARÍA DE MOLINA 16  I;47001;VALLADOLID;VALLADOLID;983373037;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;ESTEBAN ARNÁIZ , RAMÓN;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE D. SANTIAGO IGNACIO SÁNCHEZ IGLESIAS;37-C21-0061;PZ. DE ESPAÑA 5-6  ;37004;SALAMANCA;SALAMANCA;923282010;923233056;CONSULTAS MÉDICAS;PSIQUIATRÍA;SÁNCHEZ IGLESIAS , SANTIAGO IGNACIO;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE D. VALENTÍN RODRÍGUEZ MELÓN;24-C21-0067;AV. GRAN VÍA DE SAN MARCOS 57  I;24001;LEON;LEON;987226301;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;RODRÍGUEZ MELÓN , VALENTÍN;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DE D. VICTOR FAUSTINO DEL OLMO GARCÍA;47-C21-0077;CL. SANTIAGO 19-21  G;47001;VALLADOLID;VALLADOLID;983372924;983372924;CONSULTAS MÉDICAS;PSIQUIATRÍA;DEL OLMO GARCÍA , VICTOR FAUSTINO;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DEL DR. RICARDO MARTÍNEZ GALLARDO;42-C21-0038;RD. ELOY SANZ VILLA, 2 BAJO (CENTRO MÉDICO PAMA)   ;42003;SORIA;SORIA;975228052;975231379;CONSULTAS MÉDICAS;PSIQUIATRÍA;MARTÍNEZ GALLARDO , RICARDO;PRIVADOS;
CONSULTA DE PSIQUIATRÍA Dª.Mª PALOMA ALONSO QUINTANILLA;47-C21-0199;CL. GAMAZO 4  B;47004;VALLADOLID;VALLADOLID;983396648;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;ALONSO QUINTANILLA , Mª PALOMA;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DR. JUAN IGNACIO FRANCH VALVERDE;47-C21-0180;CL. ACERA DE RECOLETOS  1  D;47004;VALLADOLID;VALLADOLID;98335241;983352641;CONSULTAS MÉDICAS;NEUROLOGÍA#PSIQUIATRÍA;FRANCH VALVEDE , JUAN IGNACIO;PRIVADOS;
CONSULTA DE PSIQUIATRÍA DRA. SANTAMARTA;47-C21-0305;PZ. MAYOR 5  A;47001;VALLADOLID;VALLADOLID;983664064;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;SANTAMARTA ARGÜELLO , ANA Mª;PRIVADOS;
CONSULTA DE PSIQUIATRÍA INFANTO-JUVENIL Y ADULTOS;37-C21-0233;PZ. DE ESPAÑA, Nº 5-6 (EDIFICIO ESPAÑA-DESPACHO 403)   ;37004;SALAMANCA;SALAMANCA;626008960;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;MATOS SPÖHRING , CLAUDIA;PRIVADOS;
CONSULTA DE PSIQUIATRÍA MANUEL ESPINA TAMARGO;47-C21-0362;CL. SANTIAGO 13  A;47001;VALLADOLID;VALLADOLID;983375647;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;ESPINA TAMARGO , MANUEL;PRIVADOS;
CONSULTA DE PSIQUIATRÍA MARÍA DEL HENAR ARRANZ GARCÍA;40-C21-0068;CL. TEODOSIO EL GRANDE 10  ;40001;SEGOVIA;SEGOVIA;679146614;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;ARRANZ GARCÍA , MARÍA DEL HENAR;PRIVADOS;
CONSULTA DE PSIQUIATRÍA, PSICOLOGÍA Y PSICOTERAPIA DE LA DRA. Mª TERESA GIL;40-C21-0069;AV. CAMILO JOSÉ CELA 79  B;40200;CUELLAR;SEGOVIA;665262130;0;CONSULTAS MÉDICAS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA)#PSIQUIATRÍA;GIL RODRÍGUEZ , MARIA TERESA;PRIVADOS;
CONSULTA DE PSIQUIATRÍA, PSICOLOGÍA Y PSICOTERAPIA DE LA DRA TERESA GIL;47-C21-0355;CL. SAN LORENZO 9  D;47001;VALLADOLID;VALLADOLID;665262130;0;CONSULTAS MÉDICAS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA)#PSIQUIATRÍA;GIL RODRÍGUEZ , MARIA TERESA;PRIVADOS;
CONSULTA DE PSIQUIATRÍA Y NEUROLOGÍA DE D. DELIO GUERRO CERRATO;47-C21-0309;CL. GAMAZO 23  ;47004;VALLADOLID;VALLADOLID;983307238;0;CONSULTAS MÉDICAS;NEUROLOGÍA#PSIQUIATRÍA;GUERRO CERRATO , DELIO;PRIVADOS;
CONSULTA DE PSIQUIATRÍA Y PSICOTERAPIA  DR. MARTÍNEZ RODRÍGUEZ;47-C21-0196;CL. MORENA 23  A;47009;VALLADOLID;VALLADOLID;983344298;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;MARTÍNEZ RODRÍGUEZ , JOSÉ MANUEL;PRIVADOS;
CONSULTA DE PSIQUIATRÍA Y PSICOTERAPIA DE D. JOSÉ ESPINA BARRIO;47-C21-0075;CL. PASIÓN 13  ;47001;VALLADOLID;VALLADOLID;983376038;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;ESPINA BARRIO , JOSÉ ANTONIO;PRIVADOS;
CONSULTA DE PSIQUIATRÍA Y PSICOTERAPIA DE D. MARIANO M. BERNALDO DE QUIRÓS;40-C21-0041;CR. DE TRES CASAS 37  ;40003;SEGOVIA;SEGOVIA;921433114;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;BERNALDO DE QUIRÓS , MARIANO MARCOS;PRIVADOS;
CONSULTA DE PSQUIATRÍA Y PSICOANÁLISIS DE D. ALFREDO CIMIANO QUINTANA;34-C21-0050;CL. LOS SOLDADOS 20  C;34001;PALENCIA;PALENCIA;979750830;0;CONSULTAS MÉDICAS;PSIQUIATRÍA;CIMIANO QUINTANA , ALFREDO;PRIVADOS;
CONSULTA DE REHABILITACIÓN DEL DR. OSIEL HERMES GUIBERT BROOKS;40-C21-0063;AV. VÍA ROMA 36  ;40003;SEGOVIA;SEGOVIA;692346959;0;CONSULTAS MÉDICAS;REHABILITACIÓN;GUIBERT BROOKS , OSIEL HERMES;PRIVADOS;
CONSULTA DE REHABILITACIÓN Mª SOLEDAD MEDINA MARTOS;24-C21-0118;CL. EL CARMEN, OFICINA 17,Nº 7  ;24001;LEON;LEON;987244658;0;CONSULTAS MÉDICAS;REHABILITACIÓN;MEDINA MARTOS , Mª SOLEDAD;PRIVADOS;
CONSULTA DE REHABILITACIÓN (TRATAM. DEL DOLOR) DE D. PEDRO Mª OLMOS LEZAUN;09-C21-0187;CL. CRUZ ROJA, S/N (HOSPITAL RECOLETAS)   ;09006;BURGOS;BURGOS;947244055;947240424;CONSULTAS MÉDICAS;REHABILITACIÓN#TRATAMIENTO DEL DOLOR;OLMOS LEZAUN , PEDRO Mª;PRIVADOS;
CONSULTA DE REUMATOLOGÍA D. FELIPE RIVAS SANTIRSO;40-C21-0005;AV. FERNÁNDEZ LADREDA 30  D;40002;SEGOVIA;SEGOVIA;921461566;921463600;CONSULTAS MÉDICAS;REUMATOLOGÍA;RIVAS SANTIRSO , FELIPE;PRIVADOS;
CONSULTA DE REUMATOLOGÍA DE D. FLORENCIO GARCÍA VELASCO;47-C21-0051;PZ. SANTA ANA 7  B;47001;VALLADOLID;VALLADOLID;983378174;0;CONSULTAS MÉDICAS;REUMATOLOGÍA;GARCÍA VELASCO , FLORENCIO MIGUEL;PRIVADOS;
CONSULTA DE REUMATOLOGÍA DE Dª MARÍA ELENA CIRUELO MONGE;40-C21-0060;PS. EZEQUIEL GONZÁLEZ  28  ;40002;SEGOVIA;SEGOVIA;921413328;921492036;CONSULTAS MÉDICAS;REUMATOLOGÍA;CIRUELO MONGE , MARÍA ELENA;PRIVADOS;
CONSULTA DE REUMATOLOGÍA DE Dª PURIFICACIÓN RUIZ MARTÍNEZ;42-C21-0010;CL. RONDA ELOY SANZ-VILLA 8  G;42005;SORIA;SORIA;975230358;975230358;CONSULTAS MÉDICAS;REUMATOLOGÍA;RUÍZ MARTÍNEZ , PURIFICACIÓN;PRIVADOS;
CONSULTA DE REUMATOLOGIA DE Dª TRINIDAD PEREZ SANDOVAL;24-C21-0127;AV. GRAN VIAS SAN MARCOS  23  Ñ;24001;LEON;LEON;987247090;0;CONSULTAS MÉDICAS;REUMATOLOGÍA;GABINETE MEDICO, C.B. E24487936;PRIVADOS;
CONSULTA DE REUMATOLOGÍA DEL DR. JAVIER DEL PINO MONTES;37-C21-0226;AV. FEDERICO ANAYA 62  ;37005;SALAMANCA;SALAMANCA;923213464;0;CONSULTAS MÉDICAS;REUMATOLOGÍA;DEL PINO MONTES , JAVIER;PRIVADOS;
CONSULTA DE REUMATOLOGÍA DR. RAMÓN SERRANO VALLADARES;24-C21-0029;CL. RAMÓN Y CAJAL 9  B;24002;LEON;LEON;987240510;0;CONSULTAS MÉDICAS;REUMATOLOGÍA;SERRANO VALLADARES , RAMÓN;PRIVADOS;
CONSULTA DE TERAPIA DEL DOLOR DE D. FELIPE HERNÁNDEZ ZABALLOS;37-C21-0227;AV. DE FEDERICO ANAYA 62  ;37005;SALAMANCA;SALAMANCA;656235656;0;CONSULTAS MÉDICAS;TRATAMIENTO DEL DOLOR;HERNÁNDEZ ZABALLOS , FELIPE;PRIVADOS;
CONSULTA DE TERAPIA OCUPACIONAL TOMA IMPULSO;24-C22-0145;CL. LOS ALUCHES 36  C;24006;LEON;LEON;645050044;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;TERAPIA OCUPACIONAL;RODRIGUEZ UGIDOS , RUTH;PRIVADOS;
CONSULTA DE TOCO-GINECOLOGÍA DE D. JESÚS TRANCHO GARCÍA;34-C21-0060;CL. DON SANCHO 3  A;34001;PALENCIA;PALENCIA;979747827;0;CONSULTAS MÉDICAS;GINECOLOGÍA #OBSTETRICIA;TRANCHO GARCÍA , JESÚS;PRIVADOS;
CONSULTA DE TRAMUMATOLOGÍA   D. ANTONIO LÓPEZ SASTRE;24-C21-0028;CL. RAMÓN Y CAJAL 15  A;24001;LEON;LEON;987234430;987234430;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;LÓPEZ SASTRE , ANTONIO;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA  D. JUAN J. LLANOS GÓMEZ;47-C21-0112;PS. DE ZORRILLA  68  I;47006;VALLADOLID;VALLADOLID;983471987;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;LLANOS GÓMEZ , JUAN JOSÉ;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA  DE D. JOSÉ A. CANTERO BLANCO;24-C21-0064;CL. GRAN VÍA DE SAN MARCOS 7  A;24001;LEON;LEON;987222597;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;CANTERO BLANCO , JOSÉ ANTONIO;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA  DE Dª. PAULINA FLORES GARCÍA;37-C21-0193;PS. DE CARMELLITAS, 74-94 (POLICLÍNICA SANTÍSIMA TRINIDAD)   ;37007;SALAMANCA;SALAMANCA;923212700;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;FLORES GARCÍA , PAULINA;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA  Y C. ORTOPÉDICA  JUAN A. GARCIMARTÍN SEVILLANO;49-C21-0056;CL. DIEGO DE LOSADA 14  C;49018;ZAMORA;ZAMORA;980525911;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;GARCIMARTÍN SEVILLANO , JUAN ANTONIO;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA D. ANGEL VIÑAS DOMÍNGUEZ;49-C21-0028;CL. PRÍNCIPE DE ASTURIAS 31  B;49011;ZAMORA;ZAMORA;980520007;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;VIÑAS DOMÍNGUEZ , ÁNGEL;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA D. ANTONIO REBOLLO RUEDA;34-C21-0041;AV. REPÚBLICA ARGENTINA 6  I;34002;PALENCIA;PALENCIA;979730036;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;REBOLLO RUEDA , ANTONIO;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA D. CIRÍACO CASQUETE ROMÁN;47-C21-0031;PZ. SANTA ANA  7  C;47001;VALLADOLID;VALLADOLID;983376603;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;CASQUETE ROMÁN , CIRÍACO;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA D. FERNANDO ANGULO SANTAMARÍA;09-C21-0084;CL. ARZOBISPO PÉREZ PLATERO (CENTRO MÉDICO SANTIAGO) 17  ;09007;BURGOS;BURGOS;947236155;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;ANGULO SANTAMARÍA , FERNANDO;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA D. JUAN JOSÉ CHICO ÁLVAREZ;24-C21-0133;CL. TENERÍAS 16  ;24750;BAÑEZA (LA);LEON;987655255;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;CHICO  ÁLVAREZ , JUAN JOSÉ;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA D. MANUEL GONZÁLEZ DEL PINO;47-C21-0242;CL. GAMAZO  28  D;47004;VALLADOLID;VALLADOLID;983301888;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;GONZÁLEZ DEL PINO , MANUEL;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA D. RAFAEL SÁNCHEZ NEBREDA;34-C21-0069;CL. ESTRADA 11  A;34002;PALENCIA;PALENCIA;979712321;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;SÁNCHEZ NEBREDA , RAFAEL;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA D.ALFONSO FERNÁNDEZ  PRIETO;49-C21-0063;CL. CORTINAS DE SAN MIGUEL 34  I;49015;ZAMORA;ZAMORA;980536997;980453699;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;FERNANDEZ  PRIETO , ALFONSO ;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. AGUSTÍN BLANCO POZO;09-C21-0122;CL. MARTÍNEZ DEL CAMPO  6  ;09003;BURGOS;BURGOS;947207408;947207408;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;BLANCO POZO , AGUSTÍN;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. ALFONSO GONZÁLEZ-ORUS MARCOS;37-C21-0112;CL. ÍSCAR PEYRA 1-5  C;37002;SALAMANCA;SALAMANCA;923265966;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;GONZÁLEZ-ORUS MARCOS , ALFONSO;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. ANDRÉS PÁMPANO PÉREZ;37-C21-0161;PS. DE CARMELITAS  11-21  E;37002;SALAMANCA;SALAMANCA;923218888;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;PÁMPANO PÉREZ , ANDRÉS;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. ANGEL JIMÉNEZ GONZÁLEZ;;AV.  SANTA CRUZ DE TENERIFE (CLÍNICA SANTA TERESA) 11  ;05005;AVILA;AVILA;920252525;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;JIMÉNEZ GONZÁLEZ , ANGEL;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. ANTONIO FERNÁNDEZ HERRERO;;AV. SANTA CRUZ DE TENERIFE ( CLÍNICA SANTA TERESA ) 11  ;05005;AVILA;AVILA;920221450;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;FERNÁNDEZ HERRERO , ANTONIO;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. ANTONIO URREA MIRA;47-C21-0141;CL. VEINTE DE FEBRERO  1  C;47001;VALLADOLID;VALLADOLID;983356868;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;URREA MIRA , ANTONIO;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. CEFERINO PÉREZ MARINA;09-C21-0048;CL. CRUZ ROJA (HOSPITAL RECOLETAS) 0  ;09006;BURGOS;BURGOS;947244055;947231267;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;PÉREZ MARINA , CEFERINO;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. DAVID PESCADOR HERNÁNDEZ;37-C22-0252;CL. NÚÑEZ DE BALBOA, Nº 7, BAJO (CLÍNICA CÓRPORE)   ;37004;SALAMANCA;SALAMANCA;923614564;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;PESCADOR HERNÁNDEZ , DAVID;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. DAVID PESCADOR HERNÁNDEZ;37-C21-0242;AV. FEDERICO ANAYA, Nº 62, BAJO (CLÍNICA DR. ALAEJOS)   ;37005;SALAMANCA;SALAMANCA;923213464;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;PESCADOR HERNÁNDEZ , DAVID;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. DAVID PESCADOR HERNÁNDEZ;37-C21-0234;CL. ERAS, Nº 9, BAJO (FISIOTEC)   ;37005;SALAMANCA;SALAMANCA;923622845;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;PESCADOR HERNÁNDEZ , DAVID;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. FRANCISCO GARCÍA GÜEMES;09-C21-0183;CL. CRUZ ROJA, S/N (HOSPITAL RECOLETAS BURGOS)   ;09006;BURGOS;BURGOS;947244055;947240424;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;GARCÍA GÜEMES , FRANCISCO;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. HASSAN HIJAZI ALSUSI;34-C21-0064;CL. MAYOR( BLOQUE EXTERIOR)  89  I;34001;PALENCIA;PALENCIA;979701642;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;HIJAZI AL-SUSI , HASSAN;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. IVÁN SAGARRA MIRÓ;47-C21-0300;CL. JUAN MARTÍNEZ VILLERGAS 6  C;47014;VALLADOLID;VALLADOLID;983338997;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;SAGARRA MIRÓ , IVAN JOAQUÍN;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. J. JULIO ROJO ARAGÜÉS;09-C21-0186;CL. CRUZ ROJA   ;09006;BURGOS;BURGOS;947244055;947240424;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;J. TRAUMATOLOGÍA, S.L.;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. JOSÉ ACOSTA MALLO;24-C21-0056;CL. GRAN VÍA DE SAN MARCOS 43  B;24001;LEON;LEON;987221896;987221896;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;ACOSTA MALLO , JOSÉ;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. JOSÉ ANTONIO PAJUELO RODRÍGUEZ;37-C21-0108;AV. DE ITALIA 14-18  C;37006;SALAMANCA;SALAMANCA;923222355;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;PAJUELO RODRÍGUEZ , JOSÉ ANTONIO;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. LUIS DÍAZ GALLEGO;24-C21-0099;CL. REPÚBLICA ARGENTINA 35  C;24004;LEON;LEON;987206845;987082183;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;DÍAZ GALLEGO , LUIS;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. MARTÍN ENRIQUE BARANDA MORAL;34-C21-0046;CL. JOAQUÍN COSTA 1  E;34001;PALENCIA;PALENCIA;979747801;0;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;BARANDA MORAL , MARTÍN ENRIQUE;PRIVADOS;
CONSULTA DE TRAUMATOLOGÍA DE D. MAXIMILIANO TERRÓN CHAPARRO;37-C21-0155;CL. SAN PABLO 13-15  A;37001;SALAMANCA;SALAMANCA;923267670;923267670;CONSULTAS MÉDICAS;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;TERRÓN CHAPARRO , MAXIMILIANO;PRIVADOS;
